-899296.7832	-682752	910390	331379.8395	841866	-341587	704470	-161989.4043	154191	-290288.6665	921843	494834	727830	833678	-999823.6126	-165304.9596	180808	515974	714983.357	109982.339	60527	850921	-748660	-330689.6441	-729022.8099	649647.6883	-364948.3105	-800077	-130668.4182	3192	609329	-547489	-40460.36908	-172950	18691	-419568	-533635.2008	290366.4315	-612321.8591	666271.5743	-255125	-236372.6205	204489	-182649.5836	317481.633	958354.0913	454475.0279	-935722.0233	353453.3387	468027.1741	298058.9171	-287192.7877	-973009.2743	511338	617807	119120	96389	-795491	-694755.8095	706655.7504	-798903	215083.2155	420719.1467	-369261.1729	957096	581512.5554	948585.0274	-172937.3295	983412	146123	297303.9762	-735955	-983135	974769	314476.7003	-108110.1841	112908	464558	-93346	278890.9742	-786722.4126	911688.315	445054.1376	893167	40623.76196	71498.2693	-308303.9343	-434648.2495	-522163.573	7127.308776	-619462	300484	-391756.4426	969976	604439	666892.5977	335877	346189.848	-253851	-132906
816876.5046	581652.478	808695	-172083.6272	-247773.9182	674944	94533	778934	-529213	-538202	-850312.8299	-806765.9637	314950.1175	-927193	-872015.3203	-138544.0786	539328	-952152	-499506	-665652	-657979.3161	261447.0999	482385.2641	-918420.3297	-286900.1591	600933.2064	-877182	35296	-497491	14152	768114	872860.0192	677336.4309	732650.1614	-292946.0497	539407	-133782.3539	-956518.1596	-272742	527671.791	781420	289713	-57989.98436	38502.05358	231804.833	-17254	851176.0601	-824785	912437	-130740	52258.47738	-364083	886482	-831936.0152	268698	-670967	651992	-213925.0207	268931.1781	334330	373250.0285	268373.5742	-850890	-469789.6304	-841307	392379.9159	357652.9496	437580.2474	920854	-321270	-891044.2537	-566850.3924	-726823	-367779	-488361.8606	-832866.1128	448970.7522	-683356	-60101.61204	-873809.2936	744458.5815	-460998.6995	-703573.8371	552583	122073	568979	50421.46111	-42721.33421	-907786.4718	-987184.2938	-344262.9354	-909794	-839042.5834	293327.3829	-361365	850069.0417	503106	714420	-72760.47354	-310360
545408	349080	-451597.3211	-941645.0932	-721489	-695444	742743.8391	806535	46375	222077	690312	-392139	-476333.1978	-775494	926150	752463.7226	352043	706189.1269	-276348.0351	687091.3096	804069	-356531.9345	-291110	-271666.6995	-286184.2111	52757	992570	120430	-23119.18395	40471.18348	-75306.28454	767781	-612943.0035	-284618.2965	95037	-425208.3436	-741736.376	159735.5105	-59969.23007	152967	280845	-733464	480465	894	-317159	-307906.3345	794771.1771	11614	-116559	979433	223413	241099	885394	-636166	76466	-351489.9025	-444643.5377	959637	663170	1339.255976	-117855.9734	964579	691949	549366	-995212	664338.6856	192480	-269310	811662.821	-455862	-749230	743116.9795	290778.7412	618579.4375	683058	-204274.8743	271252	943412	216733	22045.89717	915931.8964	-390105	448821	-874992.6324	-967687.0998	-902971	615165.1585	236817.3296	-905022.0259	-914731.1402	-593769.6235	259156.6219	-281521.038	838906.5082	-437024.6691	-287493.0723	-193828.5568	-170370	383323.2108	-152087.5586
969742.6531	-179606	-925387.2766	-988419.9871	187384	647998	581229	285756.424	-916294.52	421176	-161649	358388	-783359.7007	-638553.7258	993002	335614.2971	389990	-507230.435	541071.9427	912376	-899976.0303	-207374	784591	-358041.1174	1479.628055	145769	423145	456641	-520800	708627	-703457	4201.220026	666064	541713.7436	698039	-656656.4232	364589.2871	272956.0136	377994	520179.9844	-537478	-161607.5118	-277916.3127	-30955	-337918.1761	-96175	680980	938437	-360730	907144	-616636	639741	-72318	-111405	429404	-408432	807803.9363	98980.34748	-543284	711183	-144454	-89826	-592850	-836540	-173650.1553	387749	-359277.673	509943	241692	957392.8232	-357210.962	-666832.7689	747717	-877533.261	839292	-149943	-70412.69862	792166.5872	-972582	-538797.2055	738766	240043	-258947	766723.1095	-763187	-841281	-30029.87432	-373674	341334.8448	-34867	559524	574849	280033	617179.0568	-192160	801167.8565	446495.8537	-742756.4109	-745024	-344990.2108
-469815.1033	-585654.0844	770789.5339	212411	-888694.4809	979196	-97470.29472	-881373	-41361	-558407.0652	374200	198469.8054	109742	888473	-401135	-922030	-18021.24433	263601.8364	-930670	178558.6386	-523929	-144061.7898	-449319.6151	-636338	-535602	715888	-66751	-30030.30012	978583	903216.5864	-608296	-59794.10098	772700	523885.5314	-756864	-361964	-114008.7532	593030.428	920426	670891.9332	126896.6275	-527341.9501	475101	41621.37638	-69856	-927840	-319918.0927	83956.26268	-262058.2882	-607554.6167	329854	472903.0429	-714694.0543	951278	-263013	-993826	-663736.7969	55315	480375	432706	-282927	-573044	-935043.7085	-684119.3887	-859471	-165319	-618867	915	626768.3897	-440198.9572	368818	212550.4793	-28626	-682007	646431	-569201.6607	-969742.698	555560	248321.0386	505435.3921	301289	-14528	685297	-786390	470602.4321	59381	824200.6096	-279512	895664.4786	802013	472333.3929	-593571.2902	-578411.3256	491237	215014.9439	-674546.2878	950598.1743	27123	810808.0359	33492.98063
484721	-431083.3726	-105771.6339	-429950.5841	-789497.9861	-807711.8367	-571899.9381	-120721.4298	730262.9555	482702	-807478.0999	276517	523120.431	712527.8125	839461	105664	-155215.2942	476453.2664	72848.56503	499917.866	730301	611103.4084	-558584.4817	-664676	970450.3266	297984.9842	-512316	233319.3926	-685173.6224	372272	535437	920407.5454	-315311.0782	-919934.6231	337254	-650131.4753	-683595.9421	497551	-782063	101834.1807	173088	-620336	264152	368635.6228	-789860.8454	-373067	735384	740535.5234	902196.2245	729300.7383	908962.1659	67471	531368	-634144	-699587.1342	400971	-171483.5522	290210.4751	320812.8855	886163.1485	626730.3976	443242	-798237.2754	55148.75725	677149.5627	140116.8698	968016	708322.1678	536585	88869.85374	-619974	331323.4228	-396989.8807	-87654.45324	763899.5454	295648	675196.6315	-522725	-530376	800046.1968	-49177.42147	-575255.3816	-92921	-928721.2463	-53920.03631	801851	-661830.0845	-590612.1712	-23051	412605.7796	-934800.9657	659745.7893	882470	-236921	-921143	-180874	-213521	-441169	-64766	-695798.2711
565917.2255	-426851.5284	607939	-814186	-897267.7309	94299	644065.5828	649707	-719249	698822	138516.9126	12157.32109	900972	-531685.181	-202309	-660363.1543	-793279	-324093	208108.3407	-271656.1927	311380	-688313	742399.9977	-836801	808166	-557568.3699	490835.1738	378147.4697	-461793.5787	701848	435914.2664	283429.8763	-612260	-371342	171205.4143	-146819.6012	-39163.23208	-78688	-589658	800325	341715	-283224	130404	999536.6318	813043	880790.9845	679505	237152	-361984	625997	6038	900229	493444	762994.5828	-92950	-661834	478011.2556	55415.72071	-496017	848899.2399	635628.3556	48015.59124	-652313.1793	521846.1094	966394	163720	808043	144860	-493494	-349719.5573	692653.914	-754230	-284118.1702	-983725	-621911	-159756.6421	-137741	957692.5059	296490	395964	28418	883125.4113	849602	658786.533	-490602.0128	426388	-914878	-429200	423770	-398726.9856	255760	275243	262503	416816.1975	-844627.3669	-266908	96165	-227729.1979	-2825.813953	-27621
-65028	-272655	-833938	-604249	778207	-421270	-780839	-306204.2716	680184	510139	-253299.1669	-150511.3518	49658	-107351.9397	-242749	714544.9508	-578813.6026	578691.7334	256849	-953957	240424	21719	112954	708828	-668836.0268	-977157.6709	618710	-931988.883	-701202.963	-624546	-948272	244316	-350016.6683	-205168	-922327.7811	-703901	-543456	615125	517911.1704	-292875.8155	-596262.1786	221672.4521	-964417.7811	582298.6869	-915251.5729	732063	-636794.4367	-761505.824	242288.8064	456115.4291	989140.9253	907757	-510190	922816	903967	317460	456966.3716	-608819	-636643.2408	-971887.8757	876698.7095	-167030.2852	-367662.7575	998885	942018	-723396.6787	-283127	924076.5535	597890.0158	352593.4766	-791118.3425	-761877	455852	117516	-375728	819628	125169	-888021	-745742	-659393.0508	150254.9737	-894988	400299.7033	486601	474811.8137	561101.4196	-575574.4633	-28579	-916620.6024	-609889	16129.85888	210768	198749	-462136.7701	-328824	710339.0311	-25831	-895755.863	811733	-466225.2428
-903209.6537	295134	803797.8338	103585	-812536	-634163.4036	252006.9369	898158	972586	-235385	360806	-307968	129771	208932	398628.482	404714.0297	361583	864025	746914.9526	756622	-721057	847936	397244.0829	-52215.62373	-593001.085	434089.6285	-761371	473994	243709.7442	728553	-731715.5538	-274287.6636	-912269	887181	767258.2368	-451161.715	-348429.2957	-935357	-504715	-956374	-784030	-614753.1943	904367	-902812.701	-69687.70417	920549	824495.7834	542448	86800.79705	656357	42075.28733	-872481.9426	715321.2142	-746363	-371384	-460178.64	298753	579452.9744	953989	655340	-763115.2329	-442319	76774	448519	759144	20297	-564950	-96571	-480685.4349	-85692	-692936	175512.4454	287182	846925	-185946	362094.2019	-941700.8897	-913391.9358	411817.537	-622657	-976370.3878	-371132.8211	-986193.7546	839596	751641	854198	605316	-934023	-776029	714177	-937761	-383728	-24337.38815	-782541.1487	587034.386	-9733.141965	-628130	769758.4919	-532463.7587	611705.9512
-679044	614525.4879	-633581.5681	32630	-247778	-263974.6097	-33069.98102	-668190	-337116.6619	-495636.423	839884	660350	-503694.445	-737029.4902	857007	-865339	749900	656053.6183	685044	751894.195	608906.1152	787697	590743.7193	948739.394	905549.0132	782262	-26448.08108	-846499	-621346.2035	-135400	474238.9676	-126752	94595.09652	-628097.4855	-243463.2497	-226211	-144862.5161	384920	93314	511727.6151	-703470.7621	-711362	-83571	878206	-73244.87377	743896	13317	-360704	-180444	-547055.2766	211.282231	621432	16863.81122	463937.3327	-328954.0673	-666356.8103	-51499	-717381.4081	-41484.51799	275187.6663	-537991	-406586.5872	617736	-386500	990672	-689022	271567	334012	-817395.2722	-78893.09863	835655	140063.0184	155922	-464584	811466	454174.7994	31873.11014	524383	-182796.635	548328.2689	285560	146263.0063	800096	594152	-958987	931766	21422	375671	-659677	145725	-856608	-996145.2984	195919.2629	450974.1493	-712761.6773	793664	-417767	-213932.4337	-859722	407252
